sample	unit	fq1	fq2	parhap	mother	inducer
MM1188	KFRAG_01368	KFRAG_01368.fq.gz	NaN	haploid	Y84_027	IVP35
MM1188	KFRAG_01368_b	KFRAG_01368_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1188	KFRAG_01368_c	KFRAG_01368_c.fq.gz	NaN	haploid	Y84_027	IVP35
MM1189	KFRAG_01369	KFRAG_01369.fq.gz	NaN	haploid	Y84_027	IVP35
MM1189	KFRAG_01369_b	KFRAG_01369_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1189	KFRAG_01369_c	KFRAG_01369_c.fq.gz	NaN	haploid	Y84_027	IVP35
MM1190	KFRAG_01370	KFRAG_01370.fq.gz	NaN	haploid	Y84_027	IVP35
MM1190	KFRAG_01370_b	KFRAG_01370_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1190	KFRAG_01370_c	KFRAG_01370_c.fq.gz	NaN	haploid	Y84_027	IVP35
MM1191	KFRAG_01371	KFRAG_01371.fq.gz	NaN	haploid	Y84_027	IVP35
MM1191	KFRAG_01371_b	KFRAG_01371_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1191	KFRAG_01371_c	KFRAG_01371_c.fq.gz	NaN	haploid	Y84_027	IVP35
MM1192	KFRAG_01372	KFRAG_01372.fq.gz	NaN	haploid	93_003	IVP35
MM1192	KFRAG_01372_b	KFRAG_01372_b.fq.gz	NaN	haploid	93_003	IVP35
MM1192	KFRAG_01372_c	KFRAG_01372_c.fq.gz	NaN	haploid	93_003	IVP35
MM1193	KFRAG_01373	KFRAG_01373.fq.gz	NaN	haploid	93_003	IVP35
MM1193	KFRAG_01373_b	KFRAG_01373_b.fq.gz	NaN	haploid	93_003	IVP35
MM1193	KFRAG_01373_c	KFRAG_01373_c.fq.gz	NaN	haploid	93_003	IVP35
MM1194	KFRAG_01374	KFRAG_01374.fq.gz	NaN	haploid	93_003	IVP35
MM1194	KFRAG_01374_b	KFRAG_01374_b.fq.gz	NaN	haploid	93_003	IVP35
